"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Bank Note 5yo Blended Scotch","8.10","0.66","5","$","Scotch-like","","","Scotland","Blend"
"Yamazakura 16yo Blended Whisky","8.07","0.54","3","$$$$$","Scotch-like","","","Japan","Blend"
"Catto's 12yo","8.06","0.31","5","$$","Scotch-like","","","Scotland","Blend"
"Cutty Sark Storm","8.05","0.48","8","$","Scotch-like","","","Scotland","Blend"
"Three Ships 5yo","8.05","0.49","9","$","Scotch-like","","","South Africa","Blend"
"2 Gingers Irish Whiskey","8.04","0.34","3","$$","Scotch-like","","","Ireland","Blend"
"Powers Gold Label","8.04","0.40","13","$$","Scotch-like","","","Ireland","Blend"
"Black Bottle (after 2013 re-launch)","8.02","0.45","13","$$","Scotch-like","","","Scotland","Blend"
"Catto's Rare Old","8.01","0.68","5","$","Scotch-like","","","Scotland","Blend"
"Kakubin (Suntory Whisky)","8.01","0.83","5","$$","Scotch-like","","","Japan","Blend"
"West Cork Original Irish Whiskey","8.01","0.49","3","$$","Scotch-like","","","Ireland","Blend"
"Grant's Blended Sherry Cask","8.00","0.21","6","$","Scotch-like","","","Scotland","Blend"
"Tullamore Dew Blended 12yo","7.98","0.33","10","$$$","Scotch-like","","","Ireland","Blend"
"Teacher's Highland Cream","7.95","0.73","11","$","Scotch-like","","","Scotland","Blend"
"Dewar's 12yo","7.94","0.35","14","$$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Smoky Black (Black Grouse)","7.94","0.44","21","$$","Scotch-like","","","Scotland","Blend"
"Islay Mist 8yo","7.90","0.47","9","$","Scotch-like","","","Scotland","Blend"
"Jameson Lively Irish Whiskey","7.90","0.39","3","$$$$","Scotch-like","","","Ireland","Blend"
"Highland Queen","7.88","0.45","3","$","Scotch-like","","","Scotland",""
"Johnnie Walker Explorer???s Club The Adventurer","7.88","0.10","3","$$","Scotch-like","","","Scotland","Blend"
"Grand Macnish","7.87","0.45","8","$","Scotch-like","","","Scotland","Blend"
"Hankey Bannister Original","7.87","0.32","6","$","Scotch-like","","","Scotland","Blend"
"Jameson Irish Whiskey","7.83","0.42","21","$$","Scotch-like","","","Ireland","Blend"
"Tullamore Dew Blended","7.83","0.36","19","$$","Scotch-like","","","Ireland","Blend"
"Chivas Regal 12yo","7.79","0.44","23","$$","Scotch-like","","","Scotland","Blend"
"Grant's Family Reserve Blended","7.71","0.64","14","$","Scotch-like","","","Scotland","Blend"
"The Quiet Man Traditional Irish Whiskey","7.68","1.04","8","$$","Scotch-like","","","Ireland","Blend"
"Bushmills Original Blended","7.67","0.46","17","$$","Scotch-like","","","Ireland","Blend"
"Famous Grouse","7.65","0.56","20","$","Scotch-like","","","Scotland","Blend"
"Compass Box Orangerie","7.63","0.98","9","$$","Scotch-like","","","Scotland","Blend"
"Ballantine's Finest","7.61","0.62","12","$","Scotch-like","","","Scotland","Blend"
"White Oak Akashi Blended","7.58","0.7","8","$$$","Scotch-like","","","Japan","Blend"
"Bell's Original Scotch Whisky","7.57","0.69","8","$","Scotch-like","","","Scotland","Blend"
"Dewar's White Label","7.57","0.71","15","$$","Scotch-like","","","Scotland","Blend"
"Cutty Sark","7.54","0.46","15","$","Scotch-like","","","Scotland","Blend"
"Whyte & Mackay Special Reserve","7.47","0.45","7","$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Red Label","7.40","0.60","22","$","Scotch-like","","","Scotland","Blend"
"P&M Blended Whisky","7.31","1.09","5","$","Scotch-like","","","France","Blend"
"Passport Blended Scotch","7.29","1.08","8","$","Scotch-like","","","Scotland","Blend"
"J&B Rare","6.84","1.08","12","$","Scotch-like","","","Scotland","Blend"
"Yamazakura Blended Whisky","6.69","1.05","3","$$$","Scotch-like","","","Japan","Blend"
"Booker's Rye","9.22","0.33","10","$$$$$+","Rye-like","","R4","USA","Rye"
"Lot 40 Cask Strength (Single Cask)","9.19","0.10","6","$$$$","Rye-like","","","Canada","Rye"
"High West Rocky Mountain Rye 21yo","9.15","0.23","9","$$$$$+","Rye-like","","R4","USA","Rye"
"High West Rocky Mountain Rye 16yo","9.10","0.32","6","$$$$$","Rye-like","","R4","USA","Rye"
"Thomas H. Handy Sazerac","9.10","0.22","18","$$$$$+","Rye-like","","R4","USA","Rye"
"High West Midwinter Night???s Dram Rye","9.09","0.17","14","$$$$$","Rye-like","","R4","USA","Rye"
"Lot 40 Cask Strength 12 Year Old (2017)","9.08","0.27","10","$$$$","Rye-like","","","Canada","Rye"
"Van Winkle Family Reserve Rye 13yo","9.06","0.44","10","$$$$$+","Rye-like","","R4","USA","Rye"
"J.P. Wiser's Dissertation","9.01","0.28","10","$$$","Rye-like","","","Canada","Blend"
"Canadian Club 30yo","9.00","0.18","6","$$$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser???s 35yo","9.00","0.43","13","$$$$$","Rye-like","","","Canada","Rye"
"Gibson's Finest Rare 18yo","8.98","0.31","10","$$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Legacy","8.97","0.36","16","$$","Rye-like","","","Canada","Blend"
"Canadian Club 40yo","8.96","0.47","8","$$$$$","Rye-like","","","Canada","Blend"
"Canadian Rockies 21yo","8.94","0.28","8","$$$","Rye-like","","","Canada","Blend"
"Sazerac 18yo","8.94","0.30","16","$$$$$+","Rye-like","","R4","USA","Rye"
"High West Rendezvous Rye","8.93","0.28","18","$$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 6yo Rye","8.91","0.23","5","$$$$","Rye-like","","R4","USA","Rye"
"Michter's Barrel Strength Rye","8.90","0.15","6","$$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 7yo Rye","8.89","0.26","5","$$$$","Rye-like","","R4","USA","Rye"
"Amrut Rye","8.88","0.28","7","$$$$","Rye-like","","","India","Rye"
"Lot 40","8.88","0.33","22","$$","Rye-like","","","Canada","Rye"
"Masterson's Straight Rye 10yo","8.86","0.39","17","$$$$","Rye-like","","","Canada","Rye"
"Whistlepig The Boss Hog","8.86","0.28","11","$$$$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 4yo Rye","8.84","0.49","8","$$$","Rye-like","","R4","USA","Rye"
"Michter's 10yo Single Barrel Rye","8.83","0.26","7","$$$$$+","Rye-like","","R4","USA","Rye"
"Forty Creek Confederation Oak (Batch A, B)","8.81","0.41","17","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Union 52","8.81","0.32","10","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Port Wood Reserve 2011/2012","8.80","0.25","10","$$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser???s Red Letter","8.79","0.37","13","$$$$","Rye-like","","","Canada","Blend"
"Whistlepig 10yo","8.78","0.42","17","$$$$","Rye-like","","","Canada","Blend"
"Crown Royal Hand Selected Barrel","8.77","0.30","11","$$$","Rye-like","","","Canada","Blend"
"High West Double Rye Manhattan Barrel","8.77","0.36","5","$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 25yo Rye","8.77","0.48","3","$$$$$+","Rye-like","","R4","USA","Rye"
"Forty Creek Heart of Gold","8.76","0.38","10","$$$$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (All Batches)","8.75","0.39","20","$$$","Rye-like","","","Canada","Blend"
"High West Bourye","8.75","0.36","10","$$$$","Rye-like","","R4","USA","Blend"
"Highwood Ninety Rye 20yo","8.75","0.31","12","$$","Rye-like","","","Canada","Blend"
"Willett Family Estate Rye (all ages)","8.74","0.29","16","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Confederation Oak (Batch C, D)","8.73","0.44","4","$$$","Rye-like","","","Canada","Blend"
"Pikesville Straight Rye","8.73","0.45","16","$$$$","Rye-like","","R4","USA","Rye"
"Colonel E.H. Taylor Straight Rye","8.72","0.26","10","$$$$","Rye-like","","R4","USA","Rye"
"High West Double Rye","8.72","0.30","17","$$","Rye-like","","R4","USA","Rye"
"Century Reserve 21yo","8.71","0.20","11","$$","Rye-like","","","Canada","Blend"
"Millstone 100 Rye","8.71","0.30","9","$$$$","Rye-like","","","Netherlands","Rye"
"Forty Creek Double Barrel Reserve","8.70","0.39","12","$$$","Rye-like","","","Canada","Blend"
"Russell's Reserve 6yo Rye","8.70","0.29","7","$$$","Rye-like","","R4","USA","Rye"
"Crown Royal Noble Collection Wine Barrel Finished","8.69","0.52","6","$$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Single Barrel Rye","8.68","0.21","6","$$$","Rye-like","","R4","USA","Rye"
"Pike Creek 21yo Speyside Cask Finish","8.68","0.36","9","$$$$","Rye-like","","","Canada","Blend"
"Angel???s Envy Rye (Rum-finished)","8.67","0.52","10","$$$$","Rye-like","","R4","USA","Rye"
"Crown Royal Blender's Select","8.67","0.13","3","$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 3yo Rye","8.66","0.47","9","$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 5yo Rye","8.66","0.38","5","$$$$","Rye-like","","R4","USA","Rye"
"Alberta Rye Dark Batch","8.65","0.21","10","$$","Rye-like","","","Canada","Blend"
"Canadian Club 20yo","8.64","0.29","11","$$$","Rye-like","","","Canada","Blend"
"FEW Rye Whisky","8.64","0.55","7","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Copper Pot Reserve","8.64","0.41","15","$","Rye-like","","","Canada","Blend"
"Michter's Single Barrel Straight Rye","8.63","0.41","12","$$$","Rye-like","","R4","USA","Rye"
"Crown Royal Monarch 75th Anniversary","8.62","0.47","12","$$$","Rye-like","","","Canada","Blend"
"Gooderham & Worts 17yo Little Trinity Three Grain","8.62","0.33","9","$$$$","Rye-like","","","Canada","Blend"
"Gooderham & Worts Four Grain","8.62","0.28","13","$$","Rye-like","","","Canada","Blend"
"Masterson's Straight Wheat 12yo","8.62","0.24","9","$$$$","Rye-like","","","Canada","Wheat"
"Jefferson's Straight Rye 10yo","8.61","0.36","7","$$$","Rye-like","","R4","USA","Rye"
"Alberta Premium Dark Horse","8.60","0.35","17","$","Rye-like","","","Canada","Blend"
"Forty Creek Evolution","8.60","0.71","9","$$$","Rye-like","","","Canada","Blend"
"Smooth Ambler Old Scout 7yo Rye","8.60","0.38","8","$$$","Rye-like","","R4","USA","Rye"
"Rittenhouse Rye 100 Proof","8.59","0.22","18","$$","Rye-like","","R4","USA","Rye"
"Crown Royal XO","8.57","0.53","8","$$$","Rye-like","","","Canada","Blend"
"High West Double Rye Campfire Barrel","8.57","0.30","5","$$$","Rye-like","","R4","USA","Rye"
"J.P. Wiser???s 18yo","8.57","0.42","18","$$$","Rye-like","","","Canada","Blend"
"Masterson's Straight Barley 10yo","8.57","0.60","7","$$$$","Rye-like","","","Canada","Barley"
"Sazerac Straight Rye","8.57","0.44","15","$$","Rye-like","","R4","USA","Rye"
"Collingwood 21yo","8.56","0.41","13","$$$","Rye-like","","","Canada","Blend"
"Caribou Crossing Single Barrel","8.55","0.37","13","$$$$","Rye-like","","","Canada","Blend"
"Crown Royal Northern Harvest Rye","8.55","0.34","18","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye","8.54","0.22","5","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Heritage 2017","8.53","0.55","6","$$$","Rye-like","","","Canada","Blend"
"Knob Creek Small Batch Straight Rye Whiskey","8.53","0.38","17","$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Confederation Oak (Batch E, F)","8.52","0.26","5","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Small Batch","8.52","0.27","11","$","Rye-like","","","Canada","Blend"
"Danfield's 21yo","8.51","0.67","13","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser???s One Fifty","8.50","0.41","8","$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 2yo Rye","8.48","0.3","9","$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Founder's Reserve","8.47","0.35","6","$$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Rum-finished","8.47","0.29","10","$$","Rye-like","","","Canada","Blend"
"Wild Turkey 101 Rye","8.47","0.28","14","$$","Rye-like","","R4","USA","Rye"
"Crown Royal Reserve","8.46","0.65","15","$$$","Rye-like","","","Canada","Blend"
"George Dickel Rye","8.46","0.36","14","$$","Rye-like","","R4","USA","Rye"
"Jim Beam Pre-Prohibition Rye","8.46","0.37","6","$","Rye-like","","R4","USA","Rye"
"Prichard???s Rye","8.46","0.29","3","$$$$","Rye-like","","R4","USA","Rye"
"J.P. Wiser's Triple Barrel Rye","8.45","0.41","6","$","Rye-like","","","Canada","Blend"
"High West Yippee Ki-Yay","8.44","0.65","8","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Barrel Select","8.43","0.44","17","$","Rye-like","","","Canada","Blend"
"High West Son of Bourye","8.43","0.40","12","$$$","Rye-like","","R4","USA","Blend"
"Stalk & Barrel Rye (Cask Strength)","8.42","0.42","9","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser???s 15yo","8.41","0.21","7","$$$","Rye-like","","","Canada","Blend"
"Potter's Special Old","8.40","0.45","4","$","Rye-like","","","Canada","Blend"
"Woodford Reserve Straight Rye","8.39","0.32","10","$$","Rye-like","","R4","USA","Rye"
"Crown Royal Noble Collection Cornerstone Blend","8.37","0.68","5","$$$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 10yo","8.36","0.61","9","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Port-finished","8.35","0.36","13","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Red Blend","8.35","0.43","5","$$","Rye-like","","","Canada","Blend"
"Centennial 10yo","8.34","0.43","6","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Double Still Rye","8.33","0.36","8","$","Rye-like","","","Canada","Blend"
"Forty Creek Three Grain Harmony","8.32","0.51","8","$$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Rested Tennessee Rye (Batch 1/2)","8.32","0.48","4","$$$","Rye-like","","R4","USA","Rye"
"Bulleit Rye","8.31","0.61","18","$$","Rye-like","","R4","USA","Rye"
"Canadian Club 100% Rye","8.30","0.40","16","$","Rye-like","","","Canada","Rye"
"Yellow Rose Straight Rye","8.3","0.53","5","$$$","Rye-like","","R4","USA","Rye"
"Crown Royal Limited Edition","8.28","0.20","11","$$","Rye-like","","","Canada","Blend"
"66 Gilead Crimson Rye","8.27","0.45","7","$$","Rye-like","","","Canada","Blend"
"Alberta Springs 10yo","8.27","0.43","9","$","Rye-like","","","Canada","Blend"
"Willett Family Estate Rye XCF 1.0","8.27","0.47","4","$$$$$","Rye-like","","R4","USA","Rye"
"Pendleton 1910","8.26","0.67","9","$$","Rye-like","","","Canada","Blend"
"Gibson's Bold 8yo","8.23","0.45","5","$","Rye-like","","","Canada","Blend"
"Crown Royal Black","8.20","0.50","16","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel 11+1 Canadian whisky","8.19","0.41","17","$$","Rye-like","","","Canada","Blend"
"Canadian Club Sherry Cask","8.18","0.65","8","$$","Rye-like","","","Canada","Blend"
"Hiram Walker Special Old Rye","8.17","0.36","9","$","Rye-like","","","Canada","Blend"
"Alberta Premium","8.16","0.66","12","$","Rye-like","","","Canada","Blend"
"Koval Single Barrel Rye","8.12","0.21","5","$$$","Rye-like","","R4","USA","Rye"
"Canadian Club Classic 12yo (Small Batch)","8.11","0.45","13","$","Rye-like","","","Canada","Blend"
"Century Reserve Lot 15/25","8.11","0.95","6","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Hopped","8.09","0.55","8","$","Rye-like","","","Canada","Blend"
"Coyote Ugly","8.08","0.52","5","$","Rye-like","","","Canada","Blend"
"Canada Gold","8.06","0.71","5","$","Rye-like","","","Canada","Blend"
"Canadian Mist Black Diamond","8.06","0.52","6","$","Rye-like","","","Canada","Blend"
"Royal Canadian Small Batch","8.06","0.36","13","$$","Rye-like","","","Canada","Blend"
"Wild Turkey 81 Rye","8.05","0.2","7","$$","Rye-like","","R4","USA","Rye"
"Collingwood","8.04","0.31","10","$$","Rye-like","","","Canada","Blend"
"Ezra Brooks Rye","8.04","0.51","3","$","Rye-like","","R4","USA","Rye"
"Canadian Club Reserve 9yo","8.00","0.48","5","$","Rye-like","","","Canada","Blend"
"Gibson's Finest Sterling","8.00","0.37","9","$","Rye-like","","","Canada","Blend"
"Jim Beam Rye","7.99","0.59","11","$","Rye-like","","R4","USA","Rye"
"Templeton Rye","7.99","0.42","7","$$$","Rye-like","","R4","USA","Rye"
"Twelve Barrels","7.99","0.42","5","$$","Rye-like","","","Canada","Blend"
"Highwood Ninety 5yo","7.98","0.77","8","$","Rye-like","","","Canada","Blend"
"Pendleton (Let'er Buck)","7.98","0.52","14","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser???s Rye","7.97","0.42","9","$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Blue Blend","7.93","0.63","4","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Deluxe","7.92","0.68","11","$","Rye-like","","","Canada","Blend"
"Wayne Gretzky No. 99 Red Cask","7.9","0.44","9","$$","Rye-like","","","Canada","Blend"
"Gibson's Finest 12yo","7.86","0.75","12","$","Rye-like","","","Canada","Blend"
"Schenley Golden Wedding","7.81","0.66","10","$","Rye-like","","","Canada","Blend"
"Rich and Rare","7.77","0.61","6","$","Rye-like","","","Canada","Blend"
"Rich and Rare Reserve","7.75","0.54","7","$","Rye-like","","","Canada","Blend"
"Black Velvet 3yo","7.74","0.90","9","$","Rye-like","","","Canada","Blend"
"Old Overholt","7.73","0.55","8","$","Rye-like","","R4","USA","Rye"
"Seagram's VO","7.73","0.66","10","$","Rye-like","","","Canada","Blend"
"Silk Tassel","7.68","0.76","4","$","Rye-like","","","Canada","Blend"
"Canadian Mist","7.60","0.66","11","$","Rye-like","","","Canada","Blend"
"Crown Royal","7.57","0.49","19","$","Rye-like","","","Canada","Blend"
"8 Seconds","7.54","0.43","5","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Special Blend","7.39","0.82","6","$","Rye-like","","","Canada","Blend"
"Seagram's Canadian 83","7.34","0.77","7","$","Rye-like","","","Canada","Blend"
"Canadian Club (Premium)","7.31","0.71","18","$","Rye-like","","","Canada","Blend"
"Black Velvet Reserve 8yo","7.22","0.63","3","$","Rye-like","","","Canada","Blend"
"Proof Whisky","7.20","0.79","9","$$","Rye-like","","","Canada","Blend"
"Black Velvet Deluxe","7.11","0.75","8","$","Rye-like","","","Canada","Blend"
"Ellington Reserve 8yo","6.92","1.01","4","$","Rye-like","","","Canada","Blend"
"Willett Family Estate 22yo Bourbon","9.32","0.12","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Parker???s Heritage 2nd 27yo Kentucky Straight Boubon","9.28","0.35","3","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 15yo","9.23","0.24","11","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 20yo","9.23","0.33","14","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"William Larue Weller","9.2","0.23","16","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Parker???s Heritage 7th 10yo Promise of Hope","9.19","0.31","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 24yo Bourbon","9.19","0.29","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"George T Stagg","9.18","0.25","23","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Elijah Craig 21yo","9.15","0.36","6","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 15yo American Spirit","9.13","0.31","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Parker???s Heritage 4th 10yo Wheated Mash Bill Bourbon","9.08","0.22","5","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Parker???s Heritage 5th 10yo Cognac Barrel Finished","9.08","0.36","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)","9.06","0.24","5","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Four Roses Small Batch Limited Edition","9.05","0.20","17","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Parker???s Heritage 6th Blend of Mashbills","9.05","0.12","6","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"William Heavenhill BiB","9.05","0.13","5","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Michter's 20yo Single Barrel Bourbon","9.04","0.44","5","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Parker???s Heritage 11th 2017 11yo","9.03","0.17","4","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 8yo Bourbon","9.02","0.05","3","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Master's Keep Decades","9.01","0.18","7","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate Bourbon (all ages)","8.97","0.26","16","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Colonel E.H. Taylor Four Grain","8.94","0.33","6","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Blanton's Straight from the Barrel Bourbon","8.93","0.22","11","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 17yo Bourbon","8.92","0.56","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 7yo Bourbon","8.92","0.32","3","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Elijah Craig Barrel Proof","8.90","0.22","12","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Heaven Hill Select Stock Barrel","8.90","0.14","3","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's 150th Anniversary","8.90","0.31","3","$$$","Bourbon-like","","R1","USA","Bourbon"
"Old Rip Van Winkle 10yo","8.89","0.24","11","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Wild Turkey 17yo Master's Keep","8.87","0.3","8","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 11yo Bourbon","8.87","0.29","6","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Colonel EH Taylor Barrel Proof","8.86","0.20","8","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Colonel EH Taylor Single Barrel","8.86","0.31","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Stagg Jr (batches 3-9)","8.86","0.19","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey Kentucky Spirit Single Barrel","8.86","0.28","14","$$$","Bourbon-like","","R2","USA","Bourbon"
"Booker's Small Batch Straight Bourbon","8.85","0.23","21","$$$","Bourbon-like","","R2","USA","Bourbon"
"Eagle Rare 17yo","8.85","0.30","15","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Angel's Envy Cask Strength","8.84","0.43","10","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 14yo Bourbon","8.84","0.37","4","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Smooth Ambler Old Scout Single Barrel Bourbon","8.83","0.23","7","$$$$","Bourbon-like","","R1","USA","Bourbon"
"W.L. Weller 12yo","8.83","0.18","17","$$$$$","Bourbon-like","","R0","USA","Bourbon"
"Jefferson's 18yo Presidential Select","8.82","0.46","9","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Old Forester 1920 Prohibition Style","8.81","0.32","5","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 23yo","8.81","0.44","6","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Maker's Mark Cask Strength","8.80","0.29","14","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Michter's 10yo Single Barrel Bourbon","8.80","0.30","11","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 14yo Tradition","8.8","0.26","5","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"J.P. Wiser's Last Barrels","8.79","0.31","11","$$$","Bourbon-like","","","Canada","Blend"
"Knob Creek Single Barrel Reserve Bourbon","8.79","0.27","14","$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Diamond Anniversary","8.79","0.29","7","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Baker???s Kentucky Straight Bourbon 7yo","8.78","0.29","21","$$$","Bourbon-like","","R2","USA","Bourbon"
"Old Forester Birthday (2012-2016)","8.77","0.13","12","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Russell's Reserve Single Barrel","8.77","0.23","10","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Henry McKenna 10yo Single Barrel BiB","8.76","0.26","12","$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 13yo Bourbon","8.76","0.43","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Jefferson's Ocean Aged at Sea","8.75","0.39","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Elmer T. Lee Single Barrel Bourbon","8.74","0.38","15","$$$","Bourbon-like","","R2","USA","Bourbon"
"Blanton's Gold Kentucky Straight Bourbon","8.73","0.40","16","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Orphan Barrel Barterhouse Bourbon 20yo","8.73","0.37","14","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Parker???s Heritage 8th 13yo Wheat Whiskey","8.73","0.56","10","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Barton 1792 Full Proof Bourbon","8.72","0.50","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"Woodford Reserve Double Oaked","8.72","0.27","14","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Yellowstone 2016 Limited Edition","8.72","0.43","3","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Weller Antique 107","8.71","0.34","15","$$","Bourbon-like","","R0","USA","Bourbon"
"Elijah Craig 18yo","8.70","0.47","13","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey Rare Breed","8.7","0.31","20","$$$","Bourbon-like","","R2","USA","Bourbon"
"Four Roses Single Barrel Bourbon","8.69","0.31","21","$$$","Bourbon-like","","R3","USA","Bourbon"
"Evan Williams Single Barrel","8.68","0.23","18","$$","Bourbon-like","","R1","USA","Bourbon"
"Barton 1792 High Rye Bourbon","8.67","0.48","4","$$$","Bourbon-like","","R3","USA","Bourbon"
"Van Winkle Special Reserve 12yo Lot B","8.67","0.23","9","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Barton 1792 Sweet Wheat Bourbon","8.66","0.19","8","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Elijah Craig 12yo","8.66","0.26","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Maker's Mark 46","8.66","0.36","21","$$$","Bourbon-like","","R0","USA","Bourbon"
"Blanton's Single Barrel Bourbon","8.65","0.32","22","$$$","Bourbon-like","","R2","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)","8.65","0.14","3","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Single Barrel","8.64","0.20","4","$$","Bourbon-like","","R2","USA","Bourbon"
"Old Grand-Dad Bourbon 114","8.63","0.24","12","$$","Bourbon-like","","R3","USA","Bourbon"
"Willett Pot Still Reserve","8.63","0.51","9","$$$","Bourbon-like","","R2","USA","Bourbon"
"Barton 1792 Single Barrel Bourbon","8.62","0.37","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"Colonel EH Taylor Small Batch (BiB)","8.62","0.29","14","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Eagle Rare 10yo","8.60","0.31","24","$$","Bourbon-like","","R1","USA","Bourbon"
